province_id,processed_polling_stations,expected_polling_stations,polling_stations_percentage,expected_voters,valid_votes,blank_votes,total_voters,voters_percentage,valid_votes_percentage,blank_votes_percentage
1,7414,8287,89.47,5078483,1756303,6767,1763070,34.72,99.62,0.38
2,3607,3729,96.73,2067403,782304,930,783234,37.88,99.88,0.12
3,2109,2380,88.61,994679,631247,1051,632298,63.57,99.83,0.17
4,3441,4359,78.94,2321250,1097024,1672,1098696,47.33,99.85,0.15
5,1548,1776,87.16,951057,395647,478,396125,41.65,99.88,0.12
6,1309,1961,66.75,1021549,266369,403,266772,26.11,99.85,0.15
7,1249,1433,87.16,746993,345668,416,346084,46.33,99.88,0.12
8,2044,2508,81.5,1372237,611614,673,612287,44.62,99.89,0.11
9,1277,1834,69.63,968467,430267,476,430743,44.48,99.89,0.11
10,978,1633,59.89,758788,286222,788,287010,37.82,99.73,0.27
11,2380,2499,95.24,1409186,551162,1151,552313,39.19,99.79,0.21
12,950,1092,87.0,506522,175088,230,175318,34.61,99.87,0.13
13,1788,1939,92.21,1020231,342943,471,343414,33.66,99.86,0.14
14,3740,4275,87.49,2546796,1021127,1452,1022579,40.15,99.86,0.14
15,4232,4676,90.5,2800740,1379575,948,1380523,49.29,99.93,0.07
16,3606,4728,76.27,2766148,1038970,939,1039909,37.59,99.91,0.09
17,1643,2019,81.38,1059213,408784,547,409331,38.64,99.87,0.13
18,3914,4445,88.05,2764061,1069102,3437,1072539,38.8,99.68,0.32
19,1896,2372,79.93,1298449,639697,762,640459,49.32,99.88,0.12
20,1889,2143,88.15,1229673,465537,433,465970,37.89,99.91,0.09
21,1850,2237,82.7,1259722,391434,757,392191,31.13,99.81,0.19
22,2181,2549,85.56,1279171,595330,206,595536,46.56,99.97,0.03
23,1972,2444,80.69,1039924,699469,641,700110,67.32,99.91,0.09
24,1879,2035,92.33,1125004,543377,85,543462,48.31,99.98,0.02
25,2690,3209,83.83,1681469,1080176,497,1080673,64.27,99.95,0.05
26,2588,3385,76.45,1671413,1009178,185,1009363,60.39,99.98,0.02
