voting_site_id,1_1_1_128_248,1_1_1_129_249,1_1_1_130_250,1_1_1_131_251,1_1_1_132_252,1_1_1_133_253,1_1_1_134_254,1_1_1_135_255,1_1_1_136_256,1_1_1_137_257,1_1_1_138_258,1_1_1_139_259,1_1_1_140_260,1_1_1_141_261,1_1_1_142_262,1_1_1_143_263,1_1_1_144_264,1_1_1_145_265,1_1_1_146_266,1_1_1_147_267,1_1_1_148_268,1_1_1_149_269,1_1_1_150_270,1_1_1_151_271,1_1_1_152_272,1_1_1_153_273,1_1_1_999_999
1001001,0,6,0,2,1,1,0,249,9,41,0,2,0,0,0,1508,0,1,0,0,1,3,1,0,0,0,2
1001002,0,4,2,1,0,2,0,174,17,56,0,0,0,0,1,1536,1,1,0,0,2,0,0,0,0,0,5
1001003,0,2,0,0,0,0,2,157,11,33,1,1,0,0,2,1301,0,0,0,0,3,1,0,0,2,1,4
1001004,0,34,0,2,1,0,8,281,28,71,1,6,0,1,0,2227,0,0,0,0,3,2,1,1,0,0,9
1001005,0,10,0,0,0,1,4,144,11,25,0,2,0,0,1,854,3,0,0,0,0,0,0,0,0,0,2
1001006,1,6,0,2,1,0,0,110,6,36,0,2,0,0,1,1251,3,0,0,0,1,1,0,1,0,0,1
1001007,1,8,0,1,0,3,2,225,11,36,0,5,0,0,4,1767,3,1,0,1,0,1,1,0,1,0,1
1001008,0,5,0,1,0,1,1,215,14,55,0,0,1,0,0,1815,3,0,0,0,2,4,0,1,0,0,3
1001009,1,2,0,0,0,1,2,144,12,44,0,3,1,2,0,1225,1,0,0,0,3,0,0,2,0,0,1
1001010,1,14,0,2,1,1,3,333,24,50,2,3,0,0,0,2263,0,2,0,0,1,1,0,1,0,1,7
1001011,1,7,0,1,0,1,3,215,20,46,0,7,0,0,0,1458,3,2,0,1,3,0,1,0,1,0,7
1001012,0,3,1,0,1,0,6,147,2,36,1,4,0,0,1,892,0,1,1,1,0,0,0,0,1,0,2
1001013,2,6,0,0,0,0,14,377,20,61,0,3,0,0,4,1450,0,0,0,1,1,0,2,1,0,0,1
1001014,0,2,0,0,0,1,4,182,8,53,0,3,0,1,0,1021,0,0,0,0,1,0,0,1,0,0,5
1001015,1,4,3,2,1,16,36,537,28,114,0,8,5,0,2,2349,0,4,0,13,1,2,1,1,1,0,14
1001016,3,2,2,0,2,2,19,340,18,80,1,3,1,0,0,1688,0,3,2,0,1,2,0,1,0,0,4
1001017,0,1,0,0,0,6,16,255,19,37,0,2,0,0,2,1289,0,3,3,0,1,0,0,0,8,0,6
1001018,1,0,0,0,1,3,3,89,5,49,0,2,0,1,0,696,0,0,1,0,2,1,0,1,0,0,0
1001019,1,1,1,1,0,2,0,121,14,20,0,1,0,0,0,506,0,1,0,0,1,0,0,0,0,0,1
1001020,16,2,1,4,8,1,3,132,2,47,2,0,0,7,2,2018,1,0,1,2,0,11,11,1,1,3,7
1001021,0,4,1,0,1,7,21,634,18,103,0,4,0,2,10,2869,1,6,0,0,0,0,0,0,1,0,16
1001022,0,6,0,0,0,3,18,202,8,36,0,2,1,0,0,951,0,0,0,0,1,1,0,0,0,0,3
1001023,0,3,3,0,1,5,2,192,13,42,0,2,0,0,0,1345,0,0,0,1,2,1,0,0,1,0,0
1001024,0,2,0,1,0,5,1,280,11,31,3,1,0,1,0,1571,1,2,0,0,1,0,0,0,1,0,5
1001025,0,4,0,1,0,2,4,388,12,50,3,4,0,0,0,1692,0,2,0,1,0,0,0,0,0,0,4
1001026,1,1,0,1,0,7,4,108,7,52,0,1,0,2,0,1430,1,0,0,0,2,0,1,0,0,0,8
1001027,0,2,0,0,1,2,3,224,20,28,0,6,0,0,0,2351,0,1,0,1,0,2,0,0,0,0,3
1001028,0,1,1,1,0,0,3,151,16,35,1,0,0,0,0,1373,0,1,0,0,1,1,0,0,0,0,5
1001029,0,1,2,0,1,2,3,121,13,25,0,4,0,0,0,1273,0,1,0,0,0,0,0,0,1,0,4
1001030,0,3,0,0,0,1,2,241,18,48,0,1,0,0,0,2432,1,0,0,0,1,0,0,0,0,0,2
1001031,2,3,0,1,0,1,3,223,16,17,1,4,0,2,0,1389,0,0,0,0,0,2,1,0,0,1,32
1001032,1,1,0,0,0,1,2,203,8,27,0,0,0,3,0,1948,0,2,0,0,1,0,0,0,0,0,7
1001033,2,7,1,1,0,5,6,301,14,60,0,2,0,1,0,2827,0,2,0,0,3,1,0,0,1,0,2
1001034,0,1,0,0,0,1,1,124,9,37,0,2,0,0,0,1190,0,0,1,0,3,0,0,1,0,0,2
1001035,6,1,2,1,1,0,4,170,8,77,0,2,0,1,1,1369,0,0,0,0,0,0,0,0,3,1,79
1001036,0,4,0,1,0,3,1,295,20,71,0,0,0,0,1,2230,2,0,0,0,0,1,0,0,2,0,1
1001037,0,5,1,2,0,4,5,419,21,55,1,3,0,0,3,3163,2,0,2,3,6,0,1,1,4,0,3
1001038,0,0,0,0,0,0,0,53,2,119,0,0,1,0,0,737,0,0,0,0,0,0,0,0,0,0,2
1001039,0,0,0,0,0,4,3,75,6,133,0,0,0,1,0,860,0,1,0,0,0,1,0,1,0,0,1
1001040,0,1,1,0,0,3,1,65,17,24,0,0,0,0,0,462,0,0,0,0,0,0,0,0,0,0,2
1001041,0,4,0,1,0,1,3,170,20,38,0,7,0,0,1,1221,0,0,0,0,0,1,0,0,0,0,3
1001042,2,1,0,0,0,3,2,200,22,62,0,4,0,1,0,1365,1,0,1,0,0,2,0,0,0,0,5
1001043,1,1,0,0,1,2,8,199,19,39,0,6,0,0,0,1519,0,0,0,0,0,0,0,0,1,0,1
1001044,0,1,1,2,0,1,4,154,9,30,0,2,0,0,1,1333,1,0,0,2,0,0,1,0,0,0,3
1001045,0,0,1,0,0,0,4,114,7,20,0,4,0,0,0,723,0,0,0,0,0,0,0,0,0,1,0
1001046,0,1,0,0,0,0,4,132,20,50,0,1,0,2,0,1186,1,0,0,0,1,0,0,0,0,0,6
1001047,0,8,1,0,0,4,5,165,19,64,0,8,0,1,3,1514,0,2,0,0,0,0,0,0,0,0,6
1001048,1,4,0,0,1,2,2,171,21,67,0,2,0,0,0,1507,1,2,0,2,0,0,0,0,3,0,2
1001049,0,2,0,0,0,3,10,118,17,109,0,1,0,0,0,825,0,2,0,0,0,0,0,0,0,0,2
1001050,0,2,0,1,1,2,8,275,25,87,1,11,0,0,0,2046,0,4,0,0,0,5,0,0,0,0,1
1001051,2,1,0,1,1,13,1,136,12,48,0,0,0,6,0,1621,0,1,0,0,0,1,0,0,2,1,12
1001052,0,0,0,0,1,1,11,363,4,15,0,3,0,0,1,1180,0,1,0,0,0,0,1,0,0,0,0
1001053,1,6,1,0,0,0,3,67,3,11,1,1,0,2,0,472,0,0,0,0,0,1,0,1,0,0,238
1001054,0,1,0,0,0,1,0,116,7,32,0,0,0,0,0,1254,1,1,1,0,0,0,0,0,0,0,1
1001055,0,4,0,0,0,1,0,212,14,51,0,3,0,0,0,1461,0,1,0,0,3,0,0,0,0,1,0
1001056,0,3,0,0,1,2,3,218,24,31,0,3,0,4,2,1703,0,0,0,0,2,0,0,0,0,0,4
1001057,2,1,0,0,0,5,0,230,9,55,1,0,0,0,0,1718,0,1,0,0,1,0,0,0,0,0,5
1001058,0,10,1,1,0,3,3,182,19,45,0,4,0,0,0,1488,1,1,0,2,1,0,0,0,2,1,8
1001059,1,4,1,1,0,3,6,327,28,54,0,1,0,1,0,1862,0,1,1,1,0,2,1,0,0,0,4
1001060,1,3,0,2,0,1,9,391,24,78,0,3,0,0,1,2255,0,0,1,1,3,0,0,0,1,0,5
1002001,0,3,0,0,0,0,2,61,13,42,0,3,0,0,0,656,0,0,0,1,0,0,0,0,0,0,1
1002002,3,3,0,0,1,1,2,91,11,80,0,3,0,15,0,1277,2,11,0,2,2,0,0,2,0,0,1
1002003,0,0,0,0,1,0,0,63,0,16,0,0,0,0,0,490,0,0,0,0,0,0,0,0,0,0,0
1002004,1,7,0,1,0,2,2,150,6,16,0,1,0,0,0,1324,0,4,0,2,0,0,0,0,0,0,7
1002005,0,0,0,1,0,1,0,91,17,38,0,4,0,0,0,1704,0,1,0,0,0,1,0,1,0,0,1
1002006,0,1,0,0,0,1,4,83,7,13,0,0,0,0,0,650,0,1,0,0,0,0,0,0,1,0,2
1002007,0,3,1,1,0,1,0,79,3,23,0,0,0,0,0,1009,0,0,0,1,1,0,0,0,0,0,4
