voting_site_id,district_id,province_id,voting_site_name,district,province
1002028,100001,1,ECOLE MPIEKO,BANDALUNGWA,KINSHASA
1002025,100001,1,E.P.1 DE LA VALLEE,BANDALUNGWA,KINSHASA
1002024,100001,1,E.P I MAKELELE,BANDALUNGWA,KINSHASA
1002023,100001,1,CS MERE THERESA,BANDALUNGWA,KINSHASA
1002022,100001,1,CS MARIE STELLA,BANDALUNGWA,KINSHASA
1002021,100001,1,CS LUZI,BANDALUNGWA,KINSHASA
1002020,100001,1,CS LES EXPLOITS,BANDALUNGWA,KINSHASA
1002019,100001,1,CS KIMBANZA,BANDALUNGWA,KINSHASA
1002018,100001,1,CS KIESE,BANDALUNGWA,KINSHASA
1002017,100001,1,CS JOYEUX LUTINS,BANDALUNGWA,KINSHASA
1002016,100001,1,CS BUTSHINGO,BANDALUNGWA,KINSHASA
1002015,100001,1,CS 4 JANVIER II,BANDALUNGWA,KINSHASA
1002014,100001,1,COMPLEXE SCOLAIRE SAINT MICHEL,BANDALUNGWA,KINSHASA
1001011,100002,1,ISTA,BARUMBU,KINSHASA
1001010,100002,1,INSTITUT ST. ESPRIT,BARUMBU,KINSHASA
1002026,100001,1,E.P.1 ET E.P. 2 ANGO - ANGO,BANDALUNGWA,KINSHASA
1002001,100001,1,C.H.R LIBIKISI CBCO,BANDALUNGWA,KINSHASA
1008007,100003,1,CS LES AMIS DU CHRIST,BUMBU,KINSHASA
1008006,100003,1,CS FUKIS,BUMBU,KINSHASA
1008005,100003,1,COLLEGE ABBE MASAMBA,BUMBU,KINSHASA
1008004,100003,1,C.S LUEMBA,BUMBU,KINSHASA
1008003,100003,1,C.S LA SOURCE,BUMBU,KINSHASA
1008002,100003,1,C S BIMANZAK,BUMBU,KINSHASA
1008001,100003,1,BUREAU COMMUNAL DE BUMBU,BUMBU,KINSHASA
1002040,100001,1,INSTITUT SCIENTIFIQUE DE BANDAL,BANDALUNGWA,KINSHASA
1002039,100001,1,INSTITUT CBCO MAPAMBOLI,BANDALUNGWA,KINSHASA
1002038,100001,1,INST. SALONGO,BANDALUNGWA,KINSHASA
1002037,100001,1,INST. BOKOLO,BANDALUNGWA,KINSHASA
1002036,100001,1,GS LIFELINE,BANDALUNGWA,KINSHASA
1002035,100001,1,EP1 ET 2 BAWOYO,BANDALUNGWA,KINSHASA
1002002,100001,1,C.S KUBAMA,BANDALUNGWA,KINSHASA
1008008,100003,1,LYCEE SAINTE MARIE,BUMBU,KINSHASA
1002050,100005,1,C.S. BRAVO,KALAMU,KINSHASA
1002049,100005,1,C.S.  LE ROCHER,KALAMU,KINSHASA
1002048,100005,1,C.S COEUR SACREE,KALAMU,KINSHASA
1002047,100005,1,C R S P  KIMBANGU,KALAMU,KINSHASA
1002046,100005,1,BRISE-FALE COLLEGE,KALAMU,KINSHASA
1001026,100004,1,REGIE DES VOIES FLUVIALES,GOMBE,KINSHASA
1001025,100004,1,ISC GOMBE,GOMBE,KINSHASA
1001024,100004,1,INSTITUT TECHNIQUE INDUSTRIEL DE LA GOMBE,GOMBE,KINSHASA
1001023,100004,1,INSTITUT NOTRE DAME DE FATIMA,GOMBE,KINSHASA
1001022,100004,1,INSTITUT GEOGRAPHIQUE DU CONGO,GOMBE,KINSHASA
1001021,100004,1,INSTITUT DE LA GOMBE,GOMBE,KINSHASA
1001020,100004,1,GOMBE-ILE KAMINA,GOMBE,KINSHASA
1001019,100004,1,EDAP/ISP-GOMBE,GOMBE,KINSHASA
1001018,100004,1,ECOLE DU FLAMBEAU,GOMBE,KINSHASA
1001017,100004,1,E.P. II BOSANGANI,GOMBE,KINSHASA
1001016,100004,1,E.P I GARE,GOMBE,KINSHASA
1002066,100005,1,COMPLEXE SCOLAIRE AKTO,KALAMU,KINSHASA
1002065,100005,1,COLLEGE SAINT THEOPHILE,KALAMU,KINSHASA
1002064,100005,1,COLLEGE MAMPEZA SECONDAIRE,KALAMU,KINSHASA
1002063,100005,1,COLLEGE MAMA NTIMA,KALAMU,KINSHASA
1002062,100005,1,COLLEGE LE PRODIGE,KALAMU,KINSHASA
1002061,100005,1,COLLEGE LA SAGESSE,KALAMU,KINSHASA
1002060,100005,1,COLLEGE JOHN-MONICA,KALAMU,KINSHASA
1002059,100005,1,COLLEGE BELGO-CONGOLAIS,KALAMU,KINSHASA
1002058,100005,1,COLLEGE   PRINCE 1,KALAMU,KINSHASA
1002057,100005,1,"CENTRE HOSPITALIER PRESBYTERIEN REVEREND DR KASONGA WA KASONGA , CHPKA",KALAMU,KINSHASA
1002056,100005,1,CENTRE ELIKYA,KALAMU,KINSHASA
1002055,100005,1,CENTRE DE PROMOTION SOCIALE DE KALAMU,KALAMU,KINSHASA
1002054,100005,1,CENTRE D ENSEIGNEMENT EMERGENCE,KALAMU,KINSHASA
1002053,100005,1,C.S. SERENA,KALAMU,KINSHASA
1002052,100005,1,C.S. SAINT VINCENT DE PAUL SECONDAIRE,KALAMU,KINSHASA
1002051,100005,1,C.S. SAINT VINCENT DE PAUL PRIMAIRE,KALAMU,KINSHASA
1002082,100005,1,CS MOLONGI (LE CHAMPION),KALAMU,KINSHASA
1002081,100005,1,CS LES GAZELLES/MBOLOKO,KALAMU,KINSHASA
1002080,100005,1,CS LA CONFIANCE,KALAMU,KINSHASA
1002079,100005,1,CS KANTU,KALAMU,KINSHASA
1002078,100005,1,CS BON ESPOIR,KALAMU,KINSHASA
1002077,100005,1,CS  ROIS BAUDOUIN  1ER,KALAMU,KINSHASA
1002076,100005,1,COMPLEXE SCOLAIRE TUZOLANA,KALAMU,KINSHASA
1002075,100005,1,COMPLEXE SCOLAIRE PHILADELPHIE,KALAMU,KINSHASA
1002074,100005,1,COMPLEXE SCOLAIRE LES ETOILES,KALAMU,KINSHASA
