province_id,ordre_bulletin,candidat_id,nom,postnom,prenom,sigle,sexe,province,voixobtenues,pour_cand,bv_traites,bv_attendus,pour_bv,electeurs_attendus,bulletins_valides,bulletins_blancs,total_votants,pour_votants,img
1,11,1_1_1_150_270,KIKUNI,MASUDI,SETH,INDEPENDANT,M,Kinshasa,460,0.03,7414,8287,89,5078483,1756303,6767,1763070,34.72,
1,19,1_1_1_141_261,TSHIANI K,MUADIAMVITA,NOEL,INDEPENDANT,M,Kinshasa,767,0.04,7414,8287,89,5078483,1756303,6767,1763070,34.72,
1,24,1_1_1_133_253,MUZITO,FUMUTSHI,ADOLPHE,NOU.EL,M,Kinshasa,7645,0.44,7414,8287,89,5078483,1756303,6767,1763070,34.72,
1,21,1_1_1_137_257,FAYULU,MADIDI,MARTIN,LAMUKAFAYULU,M,Kinshasa,210169,11.97,7414,8287,89,5078483,1756303,6767,1763070,34.72,
1,20,1_1_1_143_263,TSHISEKEDI,TSHILOMBO,FELIX ANTOINE,INDEPENDANT,M,Kinshasa,1382802,78.73,7414,8287,89,5078483,1756303,6767,1763070,34.72,
1,6,1_1_1_148_268,BAENDE,ETAFE ELIKO,JEAN CLAUDE,INDEPENDANT,M,Kinshasa,898,0.05,7414,8287,89,5078483,1756303,6767,1763070,34.72,
1,18,1_1_1_144_264,NKEMA LILOO,BOKONZI,LOLI,INDEPENDANT,M,Kinshasa,518,0.03,7414,8287,89,5078483,1756303,6767,1763070,34.72,
1,12,1_1_1_151_271,MAJONDO,MWAMBA,PATRICE,INDEPENDANT,M,Kinshasa,398,0.02,7414,8287,89,5078483,1756303,6767,1763070,34.72,
1,15,1_1_1_134_254,MUKWEGE,MUKENGERE,DENIS,INDEPENDANT,M,Kinshasa,2811,0.16,7414,8287,89,5078483,1756303,6767,1763070,34.72,
1,16,1_1_1_136_256,NGALASI,KURISINI,AGGREY,INDEPENDANT,M,Kinshasa,13929,0.79,7414,8287,89,5078483,1756303,6767,1763070,34.72,
1,14,1_1_1_138_258,MUDEKEREZA,BISIMWA,JUSTIN,INDEPENDANT,M,Kinshasa,375,0.02,7414,8287,89,5078483,1756303,6767,1763070,34.72,
1,3,1_1_1_135_255,KATUMBI,CHAPWE,MOISE,ENSEMBLE,M,Kinshasa,123820,7.05,7414,8287,89,5078483,1756303,6767,1763070,34.72,
1,9,1_1_1_139_259,IFOKU,MPUTA MPUNGA,MARIE-JOSEE,INDEPENDANT,F,Kinshasa,1971,0.11,7414,8287,89,5078483,1756303,6767,1763070,34.72,
1,13,1_1_1_147_267,MASALU,ANEDU,ANDRE,INDEPENDANT,M,Kinshasa,617,0.04,7414,8287,89,5078483,1756303,6767,1763070,34.72,
1,2,1_1_1_129_249,MUTAMBA,TUNGUNGA,CONSTANT,DYPRO,M,Kinshasa,2863,0.16,7414,8287,89,5078483,1756303,6767,1763070,34.72,
1,7,1_1_1_142_262,BOLAMBA,,TONY CASSIUS,INDEPENDANT,M,Kinshasa,388,0.02,7414,8287,89,5078483,1756303,6767,1763070,34.72,
1,25,1_1_1_152_272,BILE,BATALI,JOELLE,INDEPENDANT,F,Kinshasa,585,0.03,7414,8287,89,5078483,1756303,6767,1763070,34.72,
1,26,1_1_1_153_273,NGILA,,HENOCK,INDEPENDANT,M,Kinshasa,217,0.01,7414,8287,89,5078483,1756303,6767,1763070,34.72,
1,22,1_1_1_128_248,MATATA,PONYO,MAPON,LGD,M,Kinshasa,779,0.04,7414,8287,89,5078483,1756303,6767,1763070,34.72,
1,10,1_1_1_130_250,KAZADI,KANDA,REX,INDEPENDANT,M,Kinshasa,398,0.02,7414,8287,89,5078483,1756303,6767,1763070,34.72,
1,17,1_1_1_146_266,NGOY,ILUNGA WA NSENGA,THEODORE,INDEPENDANT,M,Kinshasa,357,0.02,7414,8287,89,5078483,1756303,6767,1763070,34.72,
