province_id,ordre_bulletin,candidat_id,nom,sigle,sexe,province,voixobtenues,pour_cand,bv_traites,bv_attendus,pour_bv,electeurs_attendus,bulletins_valides,bulletins_blancs,total_votants,pour_votants,postnom,prenom,img
1,11,1_1_1_150_270,KIKUNI,INDEPENDANT,M,Kinshasa,460,0.03,7414,8287,89,5078483,1756303,6767,1763070,34.72,MASUDI,SETH,
1,19,1_1_1_141_261,TSHIANI K,INDEPENDANT,M,Kinshasa,767,0.04,7414,8287,89,5078483,1756303,6767,1763070,34.72,MUADIAMVITA,NOEL,
1,24,1_1_1_133_253,MUZITO,NOU.EL,M,Kinshasa,7645,0.44,7414,8287,89,5078483,1756303,6767,1763070,34.72,FUMUTSHI,ADOLPHE,
1,21,1_1_1_137_257,FAYULU,LAMUKAFAYULU,M,Kinshasa,210169,11.97,7414,8287,89,5078483,1756303,6767,1763070,34.72,MADIDI,MARTIN,
1,20,1_1_1_143_263,TSHISEKEDI,INDEPENDANT,M,Kinshasa,1382802,78.73,7414,8287,89,5078483,1756303,6767,1763070,34.72,TSHILOMBO,FELIX ANTOINE,
1,6,1_1_1_148_268,BAENDE,INDEPENDANT,M,Kinshasa,898,0.05,7414,8287,89,5078483,1756303,6767,1763070,34.72,ETAFE ELIKO,JEAN CLAUDE,
1,18,1_1_1_144_264,NKEMA LILOO,INDEPENDANT,M,Kinshasa,518,0.03,7414,8287,89,5078483,1756303,6767,1763070,34.72,BOKONZI,LOLI,
1,12,1_1_1_151_271,MAJONDO,INDEPENDANT,M,Kinshasa,398,0.02,7414,8287,89,5078483,1756303,6767,1763070,34.72,MWAMBA,PATRICE,
1,15,1_1_1_134_254,MUKWEGE,INDEPENDANT,M,Kinshasa,2811,0.16,7414,8287,89,5078483,1756303,6767,1763070,34.72,MUKENGERE,DENIS,
1,16,1_1_1_136_256,NGALASI,INDEPENDANT,M,Kinshasa,13929,0.79,7414,8287,89,5078483,1756303,6767,1763070,34.72,KURISINI,AGGREY,
1,14,1_1_1_138_258,MUDEKEREZA,INDEPENDANT,M,Kinshasa,375,0.02,7414,8287,89,5078483,1756303,6767,1763070,34.72,BISIMWA,JUSTIN,
1,3,1_1_1_135_255,KATUMBI,ENSEMBLE,M,Kinshasa,123820,7.05,7414,8287,89,5078483,1756303,6767,1763070,34.72,CHAPWE,MOISE,
1,9,1_1_1_139_259,IFOKU,INDEPENDANT,F,Kinshasa,1971,0.11,7414,8287,89,5078483,1756303,6767,1763070,34.72,MPUTA MPUNGA,MARIE-JOSEE,
1,13,1_1_1_147_267,MASALU,INDEPENDANT,M,Kinshasa,617,0.04,7414,8287,89,5078483,1756303,6767,1763070,34.72,ANEDU,ANDRE,
1,2,1_1_1_129_249,MUTAMBA,DYPRO,M,Kinshasa,2863,0.16,7414,8287,89,5078483,1756303,6767,1763070,34.72,TUNGUNGA,CONSTANT,
1,7,1_1_1_142_262,BOLAMBA,INDEPENDANT,M,Kinshasa,388,0.02,7414,8287,89,5078483,1756303,6767,1763070,34.72,,TONY CASSIUS,
1,25,1_1_1_152_272,BILE,INDEPENDANT,F,Kinshasa,585,0.03,7414,8287,89,5078483,1756303,6767,1763070,34.72,BATALI,JOELLE,
1,26,1_1_1_153_273,NGILA,INDEPENDANT,M,Kinshasa,217,0.01,7414,8287,89,5078483,1756303,6767,1763070,34.72,,HENOCK,
1,22,1_1_1_128_248,MATATA,LGD,M,Kinshasa,779,0.04,7414,8287,89,5078483,1756303,6767,1763070,34.72,PONYO,MAPON,
1,10,1_1_1_130_250,KAZADI,INDEPENDANT,M,Kinshasa,398,0.02,7414,8287,89,5078483,1756303,6767,1763070,34.72,KANDA,REX,
1,17,1_1_1_146_266,NGOY,INDEPENDANT,M,Kinshasa,357,0.02,7414,8287,89,5078483,1756303,6767,1763070,34.72,ILUNGA WA NSENGA,THEODORE,
1,8,1_1_1_140_260,BUSE,INDEPENDANT,M,Kinshasa,399,0.02,7414,8287,89,5078483,1756303,6767,1763070,34.72,FALAY,GEORGES,
1,4,1_1_1_149_269,SESANGA,ENVOL,M,Kinshasa,869,0.05,7414,8287,89,5078483,1756303,6767,1763070,34.72,HIPUNGU DJA KASENG KAPITU,DELLY,
1,1,1_1_1_131_251,RADJABHO,CUC,M,Kinshasa,1169,0.07,7414,8287,89,5078483,1756303,6767,1763070,34.72,TEBABHO,SOBORABO,
1,5,1_1_1_145_265,ANZULUNI,INDEPENDANT,M,Kinshasa,727,0.04,7414,8287,89,5078483,1756303,6767,1763070,34.72,ISILOKETSHI,FLORIBERT,
1,23,1_1_1_132_252,DIONGO,MLP,M,Kinshasa,372,0.02,7414,8287,89,5078483,1756303,6767,1763070,34.72,SHAMBA,FRANCK,
2,26,1_1_1_153_273,NGILA,INDEPENDANT,M,Kongo Central,414,0.05,3607,3729,97,2067403,782304,930,783234,37.88,,HENOCK,
2,10,1_1_1_130_250,KAZADI,INDEPENDANT,M,Kongo Central,473,0.06,3607,3729,97,2067403,782304,930,783234,37.88,KANDA,REX,
2,16,1_1_1_136_256,NGALASI,INDEPENDANT,M,Kongo Central,2906,0.37,3607,3729,97,2067403,782304,930,783234,37.88,KURISINI,AGGREY,
2,14,1_1_1_138_258,MUDEKEREZA,INDEPENDANT,M,Kongo Central,233,0.03,3607,3729,97,2067403,782304,930,783234,37.88,BISIMWA,JUSTIN,
2,2,1_1_1_129_249,MUTAMBA,DYPRO,M,Kongo Central,600,0.08,3607,3729,97,2067403,782304,930,783234,37.88,TUNGUNGA,CONSTANT,
2,20,1_1_1_143_263,TSHISEKEDI,INDEPENDANT,M,Kongo Central,735928,94.07,3607,3729,97,2067403,782304,930,783234,37.88,TSHILOMBO,FELIX ANTOINE,
2,17,1_1_1_146_266,NGOY,INDEPENDANT,M,Kongo Central,191,0.02,3607,3729,97,2067403,782304,930,783234,37.88,ILUNGA WA NSENGA,THEODORE,
2,21,1_1_1_137_257,FAYULU,LAMUKAFAYULU,M,Kongo Central,8544,1.09,3607,3729,97,2067403,782304,930,783234,37.88,MADIDI,MARTIN,
2,19,1_1_1_141_261,TSHIANI K,INDEPENDANT,M,Kongo Central,457,0.06,3607,3729,97,2067403,782304,930,783234,37.88,MUADIAMVITA,NOEL,
2,22,1_1_1_128_248,MATATA,LGD,M,Kongo Central,528,0.07,3607,3729,97,2067403,782304,930,783234,37.88,PONYO,MAPON,
2,8,1_1_1_140_260,BUSE,INDEPENDANT,M,Kongo Central,245,0.03,3607,3729,97,2067403,782304,930,783234,37.88,FALAY,GEORGES,
2,9,1_1_1_139_259,IFOKU,INDEPENDANT,F,Kongo Central,914,0.12,3607,3729,97,2067403,782304,930,783234,37.88,MPUTA MPUNGA,MARIE-JOSEE,
2,24,1_1_1_133_253,MUZITO,NOU.EL,M,Kongo Central,636,0.08,3607,3729,97,2067403,782304,930,783234,37.88,FUMUTSHI,ADOLPHE,
2,6,1_1_1_148_268,BAENDE,INDEPENDANT,M,Kongo Central,459,0.06,3607,3729,97,2067403,782304,930,783234,37.88,ETAFE ELIKO,JEAN CLAUDE,
