nom_sv,site_vote_id,circonscription_id
C.H.R LIBIKISI CBCO,1002001,100001
C.S KUBAMA,1002002,100001
CS LES HERITIERS 1,1002003,100001
C.S MONT DES OLIVIERS,1002004,100001
CENTRE DE FORMATION PROFESSIONNEL,1002005,100001
EP4 MAKELELE,1002006,100001
COLLEGE ALFAJIRI,1002007,100001
COLLEGE DU JUBILE ST LOANGA,1002008,100001
COLLEGE MIXTE DE BANDALUNGWA,1002009,100001
COLLEGE SAINT MICHEL,1002010,100001
COMPLEXE EDUCATIF LUMIERE DU MONDE CELM,1002011,100001
COMPLEXE SCOLAIRE LES BAMBINS,1002012,100001
COMPLEXE SCOLAIRE MASANDJOLI,1002013,100001
COMPLEXE SCOLAIRE SAINT MICHEL,1002014,100001
CS 4 JANVIER II,1002015,100001
CS BUTSHINGO,1002016,100001
CS JOYEUX LUTINS,1002017,100001
CS KIESE,1002018,100001
CS KIMBANZA,1002019,100001
CS LES EXPLOITS,1002020,100001
CS LUZI,1002021,100001
CS MARIE STELLA,1002022,100001
CS MERE THERESA,1002023,100001
E.P I MAKELELE,1002024,100001
E.P.1 DE LA VALLEE,1002025,100001
E.P.1 ET E.P. 2 ANGO - ANGO,1002026,100001
ECOLE  MAENDELEO,1002027,100001
ECOLE MPIEKO,1002028,100001
EDEN PARK ASSOCIATION MEDICAL,1002029,100001
EP 1 ET 2 BANDAL ET COLLEGE ST CASSIEN,1002030,100001
EP 1 NGOMA,1002031,100001
EP 2 MAKELELE,1002032,100001
EP 6 MAKELELE,1002033,100001
EP LUVEMBA ET INSTITUT PAPA DIALUNGANA,1002034,100001
EP1 ET 2 BAWOYO,1002035,100001
GS LIFELINE,1002036,100001
INST. BOKOLO,1002037,100001
INST. SALONGO,1002038,100001
INSTITUT CBCO MAPAMBOLI,1002039,100001
INSTITUT SCIENTIFIQUE DE BANDAL,1002040,100001
LYCEE LES ARCHANGES,1002041,100001
LYCEE MADAME DE SEVIGNE,1002042,100001
LYCEE TECHNIQUE OMISALISA,1002043,100001
UNIVERS SCOLAIRE,1002044,100001
VILLAGE BONDEKO SOEUR MWAMBILA,1002045,100001
C.S CARDINAL ETSOU,1001001,100002
C.S. GAMA,1001002,100002
C.S. LE VIDEO,1001003,100002
C.S. STELLA MATUTINA,1001004,100002
COMPLEXE SCOLAIRE MAMAN JACQUIE EKONGO,1001005,100002
COLLEGE SAINT JEAN BOSCO,1001006,100002
COLLEGE ST ROBERT,1001007,100002
CS SAINT PAUL FILLES EP I I ET VI I,1001008,100002
INSTITUT ST. CHARLES LWANGA I ET II,1001009,100002
INSTITUT ST. ESPRIT,1001010,100002
ISTA,1001011,100002
BUREAU COMMUNAL DE BUMBU,1008001,100003
C S BIMANZAK,1008002,100003
C.S LA SOURCE,1008003,100003
C.S LUEMBA,1008004,100003
COLLEGE ABBE MASAMBA,1008005,100003
CS FUKIS,1008006,100003
CS LES AMIS DU CHRIST,1008007,100003
LYCEE SAINTE MARIE,1008008,100003
CS MAYAP,1008009,100003
CS MWANA,1008010,100003
CS SAINTE MARIE REINE DE LA PAIX,1008011,100003
EP 3 BOLINGO,1008012,100003
EP II  BUMBU SUD,1008013,100003
EP SAINT ANTOINE,1008014,100003
INST SAINT ANTOINE,1008015,100003
INSTITUT BUMBU,1008016,100003
INSTITUT LUYINDULA,1008017,100003
INSTITUT MAFUTA,1008018,100003
INSTITUT TECHNIQUE IND ET PROFESSIONNEL DE BUMBU,1008019,100003
SAINT ANTOINE DE PADOUE,1008020,100003
ACADEMIE DES BEAUX ARTS,1001012,100004
COLLEGE DESIL,1001013,100004
COLLEGE JOHN MABUIDI,1001014,100004
COLLEGE ST. JOSEPH,1001015,100004
E.P I GARE,1001016,100004
E.P. II BOSANGANI,1001017,100004
ECOLE DU FLAMBEAU,1001018,100004
EDAP/ISP-GOMBE,1001019,100004
GOMBE-ILE KAMINA,1001020,100004
INSTITUT DE LA GOMBE,1001021,100004
INSTITUT GEOGRAPHIQUE DU CONGO,1001022,100004
INSTITUT NOTRE DAME DE FATIMA,1001023,100004
INSTITUT TECHNIQUE INDUSTRIEL DE LA GOMBE,1001024,100004
ISC GOMBE,1001025,100004
REGIE DES VOIES FLUVIALES,1001026,100004
BRISE-FALE COLLEGE,1002046,100005
C R S P  KIMBANGU,1002047,100005
C.S COEUR SACREE,1002048,100005
C.S.  LE ROCHER,1002049,100005
C.S. BRAVO,1002050,100005
C.S. SAINT VINCENT DE PAUL PRIMAIRE,1002051,100005
C.S. SAINT VINCENT DE PAUL SECONDAIRE,1002052,100005
C.S. SERENA,1002053,100005
CENTRE D ENSEIGNEMENT EMERGENCE,1002054,100005
CENTRE DE PROMOTION SOCIALE DE KALAMU,1002055,100005
CENTRE ELIKYA,1002056,100005
"CENTRE HOSPITALIER PRESBYTERIEN REVEREND DR KASONGA WA KASONGA , CHPKA",1002057,100005
COLLEGE   PRINCE 1,1002058,100005
COLLEGE BELGO-CONGOLAIS,1002059,100005
COLLEGE JOHN-MONICA,1002060,100005
COLLEGE LA SAGESSE,1002061,100005
COLLEGE LE PRODIGE,1002062,100005
COLLEGE MAMA NTIMA,1002063,100005
COLLEGE MAMPEZA SECONDAIRE,1002064,100005
COLLEGE SAINT THEOPHILE,1002065,100005
COMPLEXE SCOLAIRE AKTO,1002066,100005
COMPLEXE SCOLAIRE BISIMA,1002067,100005
COMPLEXE SCOLAIRE BITAFU,1002068,100005
COMPLEXE SCOLAIRE BWANYA,1002069,100005
COMPLEXE SCOLAIRE KAYALA2,1002070,100005
COMPLEXE SCOLAIRE KIDIANGO,1002071,100005
COMPLEXE SCOLAIRE LA COLOMBE,1002072,100005
COMPLEXE SCOLAIRE LA GRACE DIVINE,1002073,100005
COMPLEXE SCOLAIRE LES ETOILES,1002074,100005
COMPLEXE SCOLAIRE PHILADELPHIE,1002075,100005
COMPLEXE SCOLAIRE TUZOLANA,1002076,100005
